row_idx,AI-Generated,Confidence,Reasoning
2,TRUE,60,Likely AI-generated: multiple technical/AEM terms; formal/AI-style phrasing
3,FALSE,25,technical term(s)
4,FALSE,25,technical term(s)
5,FALSE,45,multiple technical/AEM terms
6,FALSE,20,"long, formal question"
7,FALSE,10,No strong AI indicators; plausible author question.
8,FALSE,10,No strong AI indicators; plausible author question.
9,FALSE,15,some transcript overlap
10,FALSE,20,"long, formal question"
11,FALSE,25,"long, formal question; some transcript overlap"
12,FALSE,10,No strong AI indicators; plausible author question.
13,FALSE,25,technical term(s)
14,FALSE,10,No strong AI indicators; plausible author question.
15,FALSE,15,some transcript overlap
16,FALSE,25,technical term(s)
17,FALSE,20,"long, formal question"
18,FALSE,45,multiple technical/AEM terms
19,FALSE,15,some transcript overlap
20,FALSE,25,technical term(s)
21,FALSE,10,No strong AI indicators; plausible author question.
22,FALSE,45,multiple technical/AEM terms
23,FALSE,25,technical term(s)
24,FALSE,10,No strong AI indicators; plausible author question.
25,FALSE,10,No strong AI indicators; plausible author question.
26,FALSE,10,No strong AI indicators; plausible author question.
27,FALSE,10,No strong AI indicators; plausible author question.
28,FALSE,10,No strong AI indicators; plausible author question.
29,FALSE,10,No strong AI indicators; plausible author question.
30,FALSE,10,No strong AI indicators; plausible author question.
31,FALSE,20,"long, formal question"
32,FALSE,25,"long, formal question; some transcript overlap"
33,FALSE,25,"long, formal question; some transcript overlap"
34,FALSE,10,No strong AI indicators; plausible author question.
35,FALSE,10,No strong AI indicators; plausible author question.
36,FALSE,25,"long, formal question; some transcript overlap"
37,FALSE,10,No strong AI indicators; plausible author question.
38,FALSE,10,No strong AI indicators; plausible author question.
39,TRUE,50,"Likely AI-generated: multiple technical/AEM terms; long, formal question; some transcript overlap"
40,FALSE,25,technical term(s)
41,FALSE,10,No strong AI indicators; plausible author question.
42,FALSE,10,No strong AI indicators; plausible author question.
43,FALSE,10,No strong AI indicators; plausible author question.
44,FALSE,35,"technical term(s); long, formal question"
45,FALSE,10,No strong AI indicators; plausible author question.
46,FALSE,10,No strong AI indicators; plausible author question.
47,FALSE,20,"long, formal question"
48,FALSE,20,"long, formal question"
49,TRUE,45,"Likely AI-generated: multiple technical/AEM terms; long, formal question"
50,FALSE,10,No strong AI indicators; plausible author question.
51,FALSE,10,No strong AI indicators; plausible author question.
52,FALSE,35,"technical term(s); long, formal question"
53,FALSE,10,No strong AI indicators; plausible author question.
54,FALSE,30,phrases match transcript
55,FALSE,10,No strong AI indicators; plausible author question.
56,FALSE,20,"long, formal question"
57,FALSE,15,some transcript overlap
58,FALSE,25,"long, formal question; some transcript overlap"
59,TRUE,55,"Likely AI-generated: formal/AI-style phrasing; long, formal question; phrases match transcript"
60,FALSE,20,"long, formal question"
61,FALSE,20,"long, formal question"
62,FALSE,20,"long, formal question"
63,FALSE,40,"long, formal question; phrases match transcript"
64,FALSE,20,"long, formal question"
65,FALSE,20,"long, formal question"
66,FALSE,20,"long, formal question"
67,FALSE,25,"long, formal question; some transcript overlap"
68,FALSE,30,technical term(s); some transcript overlap
69,FALSE,25,"long, formal question; some transcript overlap"
70,FALSE,40,"long, formal question; phrases match transcript"
