Session,Question,Date Asked,Asked By ,Answer,Answered On,Answered By,Status,AI-Generated Question?,Confidence,Reasoning
Jobs,"Are all job-related components production-ready, or are any still considered MVP or interim solutions?",,@Mayte Eme,,,,deferred,,,
Jobs,Are configuration options role-based (author vs. admin)?,,@Mayte Eme,,,,deferred,,,
Jobs,"Are default search behaviors configurable (e.g., location-first, keyword-first)?",,@Mayte Eme,,,,deferred,,,
Jobs,Are filters driven dynamically from Workday data or statically configured?,,@Mayte Eme,,,,deferred,,,
Jobs,"Based on demo, seems we can use job components on other sites. is that correct?",,@Mayte Eme,,,,deferred,,,
Jobs,Can category ordering and visibility be controlled by content authors?,,@Mayte Eme,,,,deferred,,,
Jobs,Can hot jobs be scheduled like in sitecore (using promo cards),,@Mayte Eme,,,,deferred,,,
Jobs,Can I choose which categories are displayed in category cards?,,@Mayte Eme,,,,deferred,,,
Jobs,Can the page template used to build this site support additional content blocks below or between?,,@Mayte Eme,,,,deferred,,,
Jobs,Can we default the Search Page path to the existing search page so authors don’t have to select it every time?,,@Mayte Eme,,,,deferred,,,
Jobs,Has load testing been done at scale?,,@Mayte Eme,,,,deferred,,,
Jobs,"How are image cropping, scaling, and focal points controlled to prevent distortion?",,@Mayte Eme,,,,deferred,,,
Jobs,How does search behave with no results or partial matches?,,@Mayte Eme,,,,deferred,,,
Jobs,How does the Job Listing Card component handle incomplete or missing data?,,@Mayte Eme,,,,deferred,,,
Jobs,How is search relevance and ranking determined?,,@Mayte Eme,,,,deferred,,,
Jobs,How will property/location data and images be fully mapped and maintained in AEM for Careers? ETR?,,@Mayte Eme,,,,deferred,,,
Jobs,"Is the layout responsive and optimized for all breakpoints (desktop, tablet, mobile)?",,@Mayte Eme,,,,deferred,,,
Jobs,What are the user roles created for this website?,,@Mayte Eme,,,,deferred,,,
Jobs,What data is sent to the data layer on job click?,,@Mayte Eme,,,,deferred,,,
Jobs,What happens if a category/location/property/type has no jobs in filters?,,@Mayte Eme,,,,deferred,,,
Jobs,"What image renditions are generated, and are aspect ratios enforced",,@Mayte Eme,,,,deferred,,,
Jobs,What is the element ID or tracking event for job card clicks?,,@Mayte Eme,,,,deferred,,,
Jobs,What is the finalized DAM folder structure for job-related images?,,@Mayte Eme,,,,deferred,,,
Jobs,When we create a page (any template) does it inherit header/footer?,,@Mayte Eme,,,,deferred,,,
Jobs,When will image issues be addressed and resolved?,,@Mayte Eme,,,,deferred,,,
Jobs,When will the style inconsistencies compared to the current site be addressed?,,@Mayte Eme,,,,deferred,,,
Jobs,Who has access to configuration pages for job components?,,@Mayte Eme,,,,deferred,,,
Jobs,Are filters interdependent?,,@Mayte Eme,,,,Pending,,,
Jobs,Can Awards be scheduled (go live on a specific date and automatically expire)?,,@Mayte Eme,,,,Pending,,,
Jobs,"Can Product configure sorting, filtering, or query logic for Hiring Events (e.g., upcoming first, region filter)?",,@Mayte Eme,,,,Pending,,,
Jobs,Do hiring events and job fairs automatically show and drop off based on start/end date/time? Is timezone respected per property?,,@Mayte Eme,,,,Pending,,,
Jobs,Do Hot Jobs automatically drop off based on end date/time? Is timezone respected per property?,,@Mayte Eme,,,,Pending,,,
Jobs,Does filter state persist across navigation?,,@Mayte Eme,,,,Pending,,,
Jobs,"Does the Job Card support personalization rules (e.g., geo-targeted jobs)?",,@Mayte Eme,,,,Pending,,,
Jobs,"For Job Portal Url, Is this URL automatically assigned as the default CTA link on job listing cards?",,@Mayte Eme,,,,Pending,,,
Jobs,How are dynamic queries built to reuse components across pages?,,@Mayte Eme,,,,Pending,,,
Jobs,How are long job titles truncated — CSS only or server-side logic?,,@Mayte Eme,,,,Pending,,,
Jobs,If “Is API Data” is unchecked that’s the next sync checks it? Assume not but would like confirmation,,@Mayte Eme,,,,Pending,,,
Jobs,"If DPLT updates a property, does it automatically update both Brand and Careers?",,@Mayte Eme,,,,Pending,,,
Jobs,Is there a custom 404 for expired jobs?,,@Mayte Eme,,,,Pending,,,
Jobs,Is there built-in logic to maintain equal row heights across dynamic content?,,@Mayte Eme,,,,Pending,,,
Jobs,Is there version history for job overrides?,,@Mayte Eme,,,,Pending,,,
Jobs,Need to get a walk us through a live authoring example of creating a Hiring Event from start to publish and scheduled drop off. including feeds/queries on other pages/sites.,,@Mayte Eme,,,,Pending,,,
Jobs,"The address from API, where is that used?",,@Mayte Eme,,,,Pending,,,
Jobs,The Inclusion page uses shared components—how are those configured?,,@Mayte Eme,,,,Pending,,,
Jobs,"To help us provide accurate feedback, can you please include direct links to each component reviewed during these sessions so we can easily reference them afterward?",,@Mayte Eme,,,,Pending,,,
Jobs,Told tags are internal metadata to categorize content but can they be used to query content?,,@Mayte Eme,,,,Pending,,,
Jobs,We understand LD JSON is not used but why is it there and what does it do if used?,,@Mayte Eme,,,,Pending,,,
Jobs,What does a Hiring Event detail page template look like?,,@Mayte Eme,,,,Pending,,,
Jobs,What does type do?,,@Mayte Eme,,,,Pending,,,
Jobs,What happens if a job detail page URL exists but job no longer exists in Workday?,,@Mayte Eme,,,,Pending,,,
Jobs,"What templates are used for returning applicants, team members?",,@Mayte Eme,,,,Pending,,,
Jobs,Where are the filters for hot jobs listing page?,,@Mayte Eme,,,,Pending,,,
Jobs,Where is Job Zip Code used?,,@Mayte Eme,,,,Pending,,,
Jobs,Why are logos the same height as navigation links? Is that intentional from a design system perspective?,,@Mayte Eme,,,,Pending,,,
Events,What fields in the card and detail page are managed by status values?,,@Mayte Eme,,,,Pending,,,
Events,How do we schedule events to automatically publish and unpublish based on start and end date/time without manual intervention?,,@Mayte Eme,,,,Pending,,,
Events,How do we ensure events automatically drop off the Event Calendar after the end date/time without requiring manual unpublishing?,,@Mayte Eme,,,,Pending,,,
Events,How do we configure property-level timezones so event times always display in the venue’s local timezone instead of the user’s browser timezone?,,@Mayte Eme,,,,Pending,,,
Events,How do we restrict Location Reference selections by user role or property access to prevent cross-property publishing errors?,,@Mayte Eme,,,,Pending,,,
Events,"How do we configure custom tags (ex: “Dinner & Show,” “21+,” “Free Event”) beyond predefined categories and use them for filtering/display?",,@Mayte Eme,,,,Pending,,,
Events,"How do we dynamically query and display events in other components (carousel, grid, homepage modules) outside of the Event Calendar component?",,@Mayte Eme,,,,Pending,,,
Events,"How do we build event listings using queries (tags/metadata) instead of a single folder path, especially for cross-LOB “featured events” scenarios?",,@Mayte Eme,,,,Pending,,,
Events,How do we exclude specific categories or tags when pulling events into a listing component?,,@Mayte Eme,,,,Pending,,,
Events,How do we control sorting behavior when two events share identical start dates and times?,,@Mayte Eme,,,,Pending,,,
Events,How do we manually reorder featured events within the same month beyond the default “Featured” checkbox logic?,,@Mayte Eme,,,,Pending,,,
Events,How do we temporarily hide an event without fully unpublishing the Content Fragment?,,@Mayte Eme,,,,Pending,,,
Events,How do we customize Event Detail Page layouts per property instead of using one global template?,,@Mayte Eme,,,,Pending,,,
Events,"How do we add structured modules to the Event Detail Page (ex: venue info, parking, FAQs, disclaimers) without embedding everything in the Description field?",,@Mayte Eme,,,,Pending,,,
