row,session,question
2,Jobs,"Are all job-related components production-ready, or are any still considered MVP or interim solutions?"
3,Jobs,Are configuration options role-based (author vs. admin)?
4,Jobs,"Are default search behaviors configurable (e.g., location-first, keyword-first)?"
5,Jobs,Are filters driven dynamically from Workday data or statically configured?
6,Jobs,"Based on demo, seems we can use job components on other sites. is that correct?"
7,Jobs,Can category ordering and visibility be controlled by content authors?
8,Jobs,Can hot jobs be scheduled like in sitecore (using promo cards)
9,Jobs,Can I choose which categories are displayed in category cards?
10,Jobs,Can the page template used to build this site support additional content blocks below or between?
11,Jobs,Can we default the Search Page path to the existing search page so authors don’t have to select it every time?
12,Jobs,Has load testing been done at scale?
13,Jobs,"How are image cropping, scaling, and focal points controlled to prevent distortion?"
14,Jobs,How does search behave with no results or partial matches?
15,Jobs,How does the Job Listing Card component handle incomplete or missing data?
16,Jobs,How is search relevance and ranking determined?
17,Jobs,How will property/location data and images be fully mapped and maintained in AEM for Careers? ETR?
18,Jobs,"Is the layout responsive and optimized for all breakpoints (desktop, tablet, mobile)?"
19,Jobs,What are the user roles created for this website?
20,Jobs,What data is sent to the data layer on job click?
21,Jobs,What happens if a category/location/property/type has no jobs in filters?
22,Jobs,"What image renditions are generated, and are aspect ratios enforced"
23,Jobs,What is the element ID or tracking event for job card clicks?
24,Jobs,What is the finalized DAM folder structure for job-related images?
25,Jobs,When we create a page (any template) does it inherit header/footer?
26,Jobs,When will image issues be addressed and resolved?
27,Jobs,When will the style inconsistencies compared to the current site be addressed?
28,Jobs,Who has access to configuration pages for job components?
29,Jobs,Are filters interdependent?
30,Jobs,Can Awards be scheduled (go live on a specific date and automatically expire)?
31,Jobs,"Can Product configure sorting, filtering, or query logic for Hiring Events (e.g., upcoming first, region filter)?"
32,Jobs,Do hiring events and job fairs automatically show and drop off based on start/end date/time? Is timezone respected per property?
33,Jobs,Do Hot Jobs automatically drop off based on end date/time? Is timezone respected per property?
34,Jobs,Does filter state persist across navigation?
35,Jobs,"Does the Job Card support personalization rules (e.g., geo-targeted jobs)?"
36,Jobs,"For Job Portal Url, Is this URL automatically assigned as the default CTA link on job listing cards?"
37,Jobs,How are dynamic queries built to reuse components across pages?
38,Jobs,How are long job titles truncated — CSS only or server-side logic?
39,Jobs,If “Is API Data” is unchecked that’s the next sync checks it? Assume not but would like confirmation
40,Jobs,"If DPLT updates a property, does it automatically update both Brand and Careers?"
41,Jobs,Is there a custom 404 for expired jobs?
42,Jobs,Is there built-in logic to maintain equal row heights across dynamic content?
43,Jobs,Is there version history for job overrides?
44,Jobs,Need to get a walk us through a live authoring example of creating a Hiring Event from start to publish and scheduled drop off. including feeds/queries on other pages/sites.
